type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,01:30,500101240,500101120,1,,
dispatch,01:30,500101240,500101137,8,,
dispatch,01:30,500101240,500101151,2,,
dispatch,01:30,500101240,500101250,1,,
hide/release,01:30,500101240,,,0,11
dispatch,01:30,500101242,500101002,1,,
dispatch,01:30,500101248,500101151,2,,
hide/release,01:30,500101248,,,0,2
dispatch,01:30,500101253,500101156,3,,
hide/release,01:30,500101253,,,0,2
hide/release,01:30,500101259,,,0,1
dispatch,02:00,500101019,500101114,3,,
hide/release,02:00,500101019,,,0,3
dispatch,02:00,500101027,500101188,2,,
dispatch,02:00,500101033,500101110,6,,
hide/release,02:00,500101042,,,0,1
dispatch,02:00,500101094,500101221,2,,
dispatch,02:00,500101095,500101133,1,,
dispatch,02:00,500101095,500101152,4,,
hide/release,02:00,500101095,,,0,4
hide/release,02:00,500101097,,,0,1
dispatch,02:00,500101099,500101006,5,,
dispatch,02:00,500101099,500101156,1,,
hide/release,02:00,500101099,,,0,2
dispatch,02:00,500101100,500101110,1,,
hide/release,02:00,500101100,,,9,0
dispatch,02:00,500101116,500101024,2,,
dispatch,02:00,500101116,500101188,2,,
hide/release,02:00,500101119,,,0,1
hide/release,02:00,500101129,,,0,1
dispatch,02:00,500101130,500101133,1,,
hide/release,02:00,500101141,,,0,1
dispatch,02:00,500101142,500101120,1,,
dispatch,02:00,500101157,500101182,3,,
dispatch,02:00,500101158,500101181,2,,
dispatch,02:00,500101163,500101038,2,,
dispatch,02:00,500101187,500101022,1,,
hide/release,02:00,500101193,,,0,1
hide/release,02:00,500101199,,,0,1
dispatch,02:00,500101200,500101186,1,,
hide/release,02:00,500101211,,,5,0
dispatch,02:00,500101215,500101188,1,,
dispatch,02:00,500101216,500101120,1,,
hide/release,02:00,500101225,,,2,0
dispatch,02:00,500101231,500101110,5,,
hide/release,02:00,500101231,,,0,7
hide/release,02:00,500101240,,,0,4
dispatch,02:00,500101244,500101169,1,,
dispatch,02:00,500101248,500101212,2,,
dispatch,02:30,500101003,500101241,1,,
dispatch,02:30,500101031,500101243,1,,
dispatch,02:30,500101033,500101022,4,,
hide/release,02:30,500101033,,,0,8
dispatch,02:30,500101091,500101196,1,,
hide/release,02:30,500101094,,,0,2
hide/release,02:30,500101095,,,0,1
dispatch,02:30,500101097,500101101,1,,
dispatch,02:30,500101097,500101156,5,,
dispatch,02:30,500101097,500101181,6,,
hide/release,02:30,500101097,,,0,10
hide/release,02:30,500101099,,,0,2
hide/release,02:30,500101100,,,0,7
dispatch,02:30,500101102,500101196,5,,
hide/release,02:30,500101102,,,0,6
dispatch,02:30,500101103,500101038,1,,
dispatch,02:30,500101107,500101172,2,,
hide/release,02:30,500101116,,,0,5
hide/release,02:30,500101130,,,0,1
hide/release,02:30,500101142,,,0,2
hide/release,02:30,500101157,,,0,2
hide/release,02:30,500101158,,,0,2
dispatch,02:30,500101163,500101147,2,,
hide/release,02:30,500101163,,,0,3
dispatch,02:30,500101170,500101025,1,,
dispatch,02:30,500101170,500101196,1,,
dispatch,02:30,500101180,500101221,1,,
dispatch,02:30,500101190,500101025,1,,
dispatch,02:30,500101193,500101166,6,,
dispatch,02:30,500101193,500101167,3,,
hide/release,02:30,500101193,,,0,3
dispatch,02:30,500101199,500101184,1,,
hide/release,02:30,500101211,,,0,4
hide/release,02:30,500101215,,,0,1
hide/release,02:30,500101216,,,0,1
hide/release,02:30,500101225,,,0,2
dispatch,02:30,500101229,500101132,1,,
dispatch,02:30,500101231,500101156,2,,
dispatch,02:30,500101240,500101181,4,,
hide/release,02:30,500101248,,,0,1
hide/release,02:30,500101253,,,0,1
dispatch,03:00,500101013,500101237,1,,
dispatch,03:00,500101018,500101182,1,,
dispatch,03:00,500101032,500101038,11,,
dispatch,03:00,500101032,500101137,4,,
dispatch,03:00,500101032,500101156,1,,
hide/release,03:00,500101032,,,0,16
hide/release,03:00,500101033,,,0,2
dispatch,03:00,500101042,500101025,1,,
hide/release,03:00,500101095,,,0,1
dispatch,03:00,500101097,500101167,3,,
hide/release,03:00,500101097,,,0,3
hide/release,03:00,500101099,,,0,1
hide/release,03:00,500101100,,,0,2
dispatch,03:00,500101102,500101161,1,,
dispatch,03:00,500101102,500101204,2,,
dispatch,03:00,500101102,500101251,1,,
hide/release,03:00,500101102,,,0,3
dispatch,03:00,500101113,500101250,3,,
dispatch,03:00,500101116,500101209,1,,
dispatch,03:00,500101128,500101166,1,,
hide/release,03:00,500101129,,,2,0
dispatch,03:00,500101130,500101002,1,,
dispatch,03:00,500101142,500101251,1,,
dispatch,03:00,500101176,500101150,1,,
hide/release,03:00,500101187,,,0,1
hide/release,03:00,500101190,,,0,1
dispatch,03:00,500101193,500101147,1,,
dispatch,03:00,500101193,500101250,2,,
hide/release,03:00,500101193,,,0,1
hide/release,03:00,500101211,,,0,2
dispatch,03:00,500101216,500101186,5,,
hide/release,03:00,500101216,,,0,5
dispatch,03:00,500101218,500101237,1,,
hide/release,03:00,500101225,,,0,1
dispatch,03:00,500101230,500101181,1,,
dispatch,03:00,500101231,500101022,1,,
dispatch,03:00,500101234,500101167,1,,
dispatch,03:00,500101240,500101137,3,,
hide/release,03:00,500101240,,,0,3
dispatch,03:00,500101253,500101212,1,,
dispatch,03:30,500101027,500101024,1,,
dispatch,03:30,500101032,500101006,4,,
dispatch,03:30,500101032,500101025,1,,
dispatch,03:30,500101032,500101137,2,,
dispatch,03:30,500101032,500101146,1,,
hide/release,03:30,500101032,,,0,8
dispatch,03:30,500101033,500101188,1,,
dispatch,03:30,500101042,500101204,1,,
hide/release,03:30,500101042,,,0,1
dispatch,03:30,500101094,500101237,1,,
dispatch,03:30,500101095,500101024,2,,
dispatch,03:30,500101099,500101156,1,,
dispatch,03:30,500101100,500101110,6,,
hide/release,03:30,500101100,,,0,2
dispatch,03:30,500101113,500101122,2,,
dispatch,03:30,500101113,500101160,6,,
dispatch,03:30,500101113,500101212,2,,
hide/release,03:30,500101113,,,0,12
hide/release,03:30,500101119,,,0,1
dispatch,03:30,500101127,500101002,2,,
hide/release,03:30,500101129,,,0,1
hide/release,03:30,500101142,,,0,1
dispatch,03:30,500101157,500101139,1,,
dispatch,03:30,500101158,500101152,1,,
dispatch,03:30,500101163,500101250,1,,
dispatch,03:30,500101165,500101201,1,,
hide/release,03:30,500101176,,,0,1
dispatch,03:30,500101187,500101209,1,,
dispatch,03:30,500101190,500101182,6,,
hide/release,03:30,500101190,,,0,5
hide/release,03:30,500101193,,,0,1
hide/release,03:30,500101211,,,1,0
dispatch,03:30,500101215,500101022,1,,
