type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,11:30,500101188,500101003,2,,
dispatch,11:30,500101221,500101194,4,,
dispatch,12:00,500101012,500101114,1,,
dispatch,12:00,500101110,500101094,2,,
dispatch,12:00,500101137,500101132,11,,
dispatch,12:00,500101147,500101210,4,,
dispatch,12:00,500101174,500101015,1,,
dispatch,12:00,500101197,500101203,2,,
dispatch,12:30,500101009,500101134,1,,
dispatch,12:30,500101010,500101170,2,,
dispatch,12:30,500101010,500101210,2,,
dispatch,12:30,500101014,500101205,2,,
dispatch,12:30,500101018,500101142,1,,
dispatch,12:30,500101165,500101254,1,,
dispatch,12:30,500101211,500101026,2,,
dispatch,12:30,500101233,500101175,5,,
dispatch,13:00,500101040,500101148,3,,
dispatch,13:00,500101137,500101019,4,,
dispatch,13:00,500101137,500101034,2,,
dispatch,13:00,500101181,500101179,4,,
dispatch,13:00,500101209,500101138,3,,
dispatch,13:30,500101008,500101246,3,,
dispatch,13:30,500101040,500101124,3,,
dispatch,13:30,500101041,500101034,4,,
dispatch,13:30,500101137,500101210,1,,
dispatch,13:30,500101166,500101203,2,,
dispatch,13:30,500101181,500101030,3,,
dispatch,13:30,500101181,500101189,3,,
dispatch,13:30,500101181,500101203,2,,
dispatch,13:30,500101184,500101038,3,,
dispatch,14:00,500101102,500101248,2,,
dispatch,14:00,500101154,500101167,2,,
dispatch,14:00,500101156,500101131,9,,
dispatch,14:00,500101156,500101148,1,,
dispatch,14:00,500101181,500101205,3,,
dispatch,14:30,500101002,500101168,5,,
dispatch,14:30,500101010,500101109,4,,
dispatch,14:30,500101033,500101182,1,,
dispatch,14:30,500101093,500101203,3,,
dispatch,14:30,500101120,500101135,1,,
dispatch,14:30,500101139,500101025,3,,
dispatch,14:30,500101141,500101142,3,,
dispatch,14:30,500101143,500101131,1,,
dispatch,14:30,500101181,500101159,1,,
dispatch,14:30,500101225,500101243,1,,
dispatch,15:00,500101022,500101132,3,,
dispatch,15:00,500101105,500101038,2,,
dispatch,15:00,500101125,500101025,6,,
dispatch,15:00,500101139,500101213,1,,
dispatch,15:00,500101144,500101038,4,,
dispatch,15:00,500101145,500101132,2,,
dispatch,15:00,500101177,500101025,2,,
dispatch,15:00,500101181,500101034,3,,
dispatch,15:00,500101184,500101025,1,,
dispatch,15:00,500101187,500101025,2,,
dispatch,15:00,500101233,500101025,2,,
dispatch,15:30,500101032,500101254,2,,
dispatch,15:30,500101181,500101228,7,,
dispatch,15:30,500101185,500101024,3,,
dispatch,15:30,500101212,500101124,1,,
dispatch,15:30,500101215,500101228,5,,
dispatch,16:00,500101022,500101203,5,,
dispatch,16:00,500101027,500101025,2,,
dispatch,16:00,500101102,500101202,2,,
dispatch,16:00,500101139,500101252,1,,
dispatch,16:00,500101162,500101029,3,,
dispatch,16:00,500101185,500101132,2,,
dispatch,16:00,500101209,500101171,1,,
dispatch,16:00,500101216,500101114,2,,
dispatch,16:00,500101230,500101131,3,,
dispatch,16:00,500101235,500101252,1,,
dispatch,16:30,500101001,500101200,1,,
dispatch,16:30,500101031,500101035,3,,
dispatch,16:30,500101105,500101138,2,,
dispatch,16:30,500101105,500101182,6,,
dispatch,16:30,500101143,500101040,2,,
dispatch,16:30,500101154,500101034,1,,
dispatch,16:30,500101181,500101120,6,,
dispatch,16:30,500101207,500101024,3,,
dispatch,17:00,500101022,500101142,4,,
dispatch,17:00,500101153,500101167,2,,
dispatch,17:00,500101154,500101209,2,,
dispatch,17:00,500101181,500101109,4,,
dispatch,17:30,500101012,500101142,1,,
dispatch,17:30,500101022,500101189,3,,
dispatch,17:30,500101116,500101025,3,,
dispatch,17:30,500101130,500101194,4,,
dispatch,17:30,500101176,500101120,2,,
dispatch,17:30,500101196,500101228,1,,
dispatch,17:30,500101259,500101015,1,,
dispatch,18:00,500101016,500101025,1,,
dispatch,18:00,500101022,500101131,16,,
dispatch,18:00,500101022,500101210,4,,
dispatch,18:00,500101098,500101210,2,,
dispatch,18:00,500101163,500101166,2,,
dispatch,18:00,500101174,500101122,4,,
dispatch,18:00,500101180,500101109,1,,
dispatch,18:30,500101022,500101184,3,,
dispatch,18:30,500101097,500101123,1,,
dispatch,18:30,500101163,500101131,2,,
dispatch,18:30,500101216,500101159,1,,
dispatch,18:30,500101236,500101115,1,,
dispatch,19:00,500101023,500101002,2,,
dispatch,19:00,500101033,500101010,1,,
dispatch,19:00,500101042,500101251,1,,
dispatch,19:00,500101099,500101153,1,,
dispatch,19:00,500101201,500101237,2,,
dispatch,19:00,500101242,500101168,2,,
dispatch,19:30,500101099,500101256,1,,
dispatch,19:30,500101108,500101247,1,,
dispatch,19:30,500101113,500101131,1,,
dispatch,19:30,500101240,500101028,4,,
dispatch,19:30,500101253,500101005,3,,
dispatch,20:00,500101037,500101040,3,,
dispatch,20:00,500101177,500101021,1,,
dispatch,20:00,500101211,500101247,3,,
dispatch,20:30,500101253,500101208,2,,
dispatch,21:00,500101099,500101175,2,,
dispatch,21:00,500101149,500101134,1,,
dispatch,21:00,500101226,500101109,2,,
dispatch,21:00,500101230,500101008,1,,
dispatch,21:30,500101031,500101160,1,,
dispatch,21:30,500101211,500101146,3,,
dispatch,21:30,500101259,500101169,1,,
dispatch,22:00,500101240,500101196,1,,
dispatch,22:30,500101244,500101030,1,,
