time,from_sno,from_sna,to_sno,to_sna,quantity
00:00,500101032,臺大男一舍前,500101025,臺灣科技大學側門,18.0
00:00,500119043,臺大男八舍東側,500101025,臺灣科技大學側門,13.5
00:00,500109027,清江國小,500101025,臺灣科技大學側門,10.0
00:00,500103020,民權迪化街口,500101025,臺灣科技大學側門,8.25
00:00,500104004,百齡國小,500101025,臺灣科技大學側門,7.75
00:00,500107023,興安華城,500101025,臺灣科技大學側門,0.25
00:00,500107023,興安華城,500119049,臺大女九舍西南側,7.0
00:00,500103021,大稻埕公園,500119049,臺大女九舍西南側,6.75
00:00,500101240,和平東路二段76巷,500119049,臺大女九舍西南側,6.5
00:00,500111014,中研公園,500119049,臺大女九舍西南側,6.5
00:00,500103058,樹德公園_1,500119049,臺大女九舍西南側,6.0
00:00,500105070,師大公館校區學二舍,500119049,臺大女九舍西南側,6.0
00:00,500101095,芳和國中,500119049,臺大女九舍西南側,5.75
00:00,500109066,福星公園,500119049,臺大女九舍西南側,5.25
00:00,500110023,新東公園,500119049,臺大女九舍西南側,5.25
00:00,500107078,永盛公園(民生東路一段23巷),500119049,臺大女九舍西南側,1.0
00:00,500107078,永盛公園(民生東路一段23巷),500112085,捷運市政府站(3號出口),4.0
00:00,500110042,中崙福成宮,500112085,捷運市政府站(3號出口),4.5
00:00,500101097,臥龍樂業街口,500112085,捷運市政府站(3號出口),4.25
00:00,500112052,三興國小,500112085,捷運市政府站(3號出口),4.25
00:00,500101231,大安國小,500112085,捷運市政府站(3號出口),4.0
00:00,500109032,北投運動中心,500112085,捷運市政府站(3號出口),4.0
00:00,500109054,大豐公園,500112085,捷運市政府站(3號出口),4.0
00:00,500109079,捷運忠義站(2號出口),500112085,捷運市政府站(3號出口),4.0
00:00,500110026,八德路三段74巷口,500112085,捷運市政府站(3號出口),4.0
00:00,500111060,小彎社會住宅,500112085,捷運市政府站(3號出口),4.0
00:00,500112003,嘉興街175巷口,500112085,捷運市政府站(3號出口),4.0
00:00,500108011,大湖國小,500112085,捷運市政府站(3號出口),3.75
00:00,500109022,大業大同街口,500112085,捷運市政府站(3號出口),3.75
00:00,500101158,德安公園(四維路66巷),500112085,捷運市政府站(3號出口),1.75
00:00,500101158,德安公園(四維路66巷),500113038,西本願寺廣場,1.75
00:00,500107016,市民林森路口,500113038,西本願寺廣場,3.5
00:00,500107061,新生公園,500113038,西本願寺廣場,3.5
00:00,500107087,新興公園,500113038,西本願寺廣場,3.5
00:00,500108181,麗山國小(內湖路一段411巷),500113038,西本願寺廣場,3.5
00:00,500112045,吳興公車總站,500113038,西本願寺廣場,3.5
00:00,500107076,錦州吉林路口,500113038,西本願寺廣場,3.25
00:00,500108007,德明財經科技大學,500113038,西本願寺廣場,3.25
00:00,500101102,喬治工商,500113038,西本願寺廣場,3.0
00:00,500104074,蘭雅國小,500113038,西本願寺廣場,3.0
00:00,500105009,景福街/羅斯福路6段142巷口,500113038,西本願寺廣場,3.0
00:00,500105081,興隆路二段203巷(敦南),500113038,西本願寺廣場,3.0
00:00,500107072,吉林路123巷口,500113038,西本願寺廣場,3.0
00:00,500112080,福德國小公車站,500113038,西本願寺廣場,3.0
00:00,500101031,臺大男七舍前,500113038,西本願寺廣場,2.75
00:00,500103001,延平國宅,500113038,西本願寺廣場,2.75
00:00,500103068,哈密街23巷19弄口,500113038,西本願寺廣場,2.75
00:00,500105089,仙岩路22巷口,500113038,西本願寺廣場,2.25
00:00,500105089,仙岩路22巷口,500106055,臺北市立大學(博愛校區),0.5
00:00,500107030,中吉公園,500106055,臺北市立大學(博愛校區),2.75
00:00,500107136,建國五常街口,500106055,臺北市立大學(博愛校區),2.75
00:00,500109003,榮華二明德路口,500106055,臺北市立大學(博愛校區),2.75
00:00,500111004,忠孝東路六段225巷口,500106055,臺北市立大學(博愛校區),2.75
00:00,500111042,南港路三段290巷口,500106055,臺北市立大學(博愛校區),2.75
00:00,500101259,臺靜農人文會館,500106055,臺北市立大學(博愛校區),2.5
00:00,500105010,興旺公園,500106055,臺北市立大學(博愛校區),2.5
00:00,500107166,龍江路345巷,500106055,臺北市立大學(博愛校區),2.5
00:00,500108027,金瑞公園,500106055,臺北市立大學(博愛校區),2.5
00:00,500108036,潭美國小(南京舊宗路口),500106055,臺北市立大學(博愛校區),2.5
00:00,500101033,臺大男六舍前,500106055,臺北市立大學(博愛校區),2.25
00:00,500103073,民族西大龍街口,500106055,臺北市立大學(博愛校區),2.25
00:00,500104022,至誠路一段305巷口,500106055,臺北市立大學(博愛校區),2.25
