mu,alpha,beta,K,H,L,numTruck,pair,X,Y,objective,mean_wait
2.25,0.02,0.01,90,40,25,4,mu_K,2.25,90.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,100,40,25,4,mu_K,2.25,100.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,110,40,25,4,mu_K,2.25,110.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,120,40,25,4,mu_K,2.25,120.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,130,40,25,4,mu_K,2.25,130.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,140,40,25,4,mu_K,2.25,140.0,971.5111111111112,4.855555555555555
2.25,0.02,0.01,150,40,25,4,mu_K,2.25,150.0,971.5111111111112,4.855555555555555
2.5,0.02,0.01,50,40,25,4,mu_K,2.5,50.0,874.4,4.37
2.5,0.02,0.01,60,40,25,4,mu_K,2.5,60.0,874.4,4.37
2.5,0.02,0.01,70,40,25,4,mu_K,2.5,70.0,874.4,4.37
2.5,0.02,0.01,80,40,25,4,mu_K,2.5,80.0,874.4,4.37
2.5,0.02,0.01,90,40,25,4,mu_K,2.5,90.0,874.4,4.37
2.5,0.02,0.01,100,40,25,4,mu_K,2.5,100.0,874.4000000000001,4.37
2.5,0.02,0.01,110,40,25,4,mu_K,2.5,110.0,874.4000000000001,4.37
2.5,0.02,0.01,120,40,25,4,mu_K,2.5,120.0,874.4000000000001,4.37
2.5,0.02,0.01,130,40,25,4,mu_K,2.5,130.0,874.4000000000001,4.37
2.5,0.02,0.01,140,40,25,4,mu_K,2.5,140.0,874.4000000000001,4.37
2.5,0.02,0.01,150,40,25,4,mu_K,2.5,150.0,874.4000000000001,4.37
2.75,0.02,0.01,50,40,25,4,mu_K,2.75,50.0,794.9454545454545,3.9727272727272727
2.75,0.02,0.01,60,40,25,4,mu_K,2.75,60.0,794.9454545454545,3.9727272727272727
2.75,0.02,0.01,70,40,25,4,mu_K,2.75,70.0,794.9454545454545,3.9727272727272727
2.75,0.02,0.01,80,40,25,4,mu_K,2.75,80.0,794.9454545454545,3.9727272727272727
2.75,0.02,0.01,90,40,25,4,mu_K,2.75,90.0,794.9454545454545,3.9727272727272727
2.75,0.02,0.01,100,40,25,4,mu_K,2.75,100.0,794.9454545454546,3.9727272727272727
2.75,0.02,0.01,110,40,25,4,mu_K,2.75,110.0,794.9454545454546,3.9727272727272727
2.75,0.02,0.01,120,40,25,4,mu_K,2.75,120.0,794.9454545454546,3.9727272727272727
2.75,0.02,0.01,130,40,25,4,mu_K,2.75,130.0,794.9454545454546,3.9727272727272727
2.75,0.02,0.01,140,40,25,4,mu_K,2.75,140.0,794.9454545454546,3.9727272727272727
2.75,0.02,0.01,150,40,25,4,mu_K,2.75,150.0,794.9454545454546,3.9727272727272727
3.0,0.02,0.01,50,40,25,4,mu_K,3.0,50.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,60,40,25,4,mu_K,3.0,60.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,70,40,25,4,mu_K,3.0,70.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,80,40,25,4,mu_K,3.0,80.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,90,40,25,4,mu_K,3.0,90.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,100,40,25,4,mu_K,3.0,100.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,110,40,25,4,mu_K,3.0,110.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,120,40,25,4,mu_K,3.0,120.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,130,40,25,4,mu_K,3.0,130.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,140,40,25,4,mu_K,3.0,140.0,728.7333333333333,3.641666666666666
3.0,0.02,0.01,150,40,25,4,mu_K,3.0,150.0,728.7333333333333,3.641666666666666
1.5,0.005,0.005,100,40,25,4,alpha_beta,0.005,0.005,1456.8666666666666,7.283333333333332
1.5,0.005,0.01,100,40,25,4,alpha_beta,0.005,0.01,1457.0666666666664,7.283333333333332
1.5,0.005,0.015,100,40,25,4,alpha_beta,0.005,0.015,1457.2666666666664,7.283333333333332
1.5,0.005,0.02,100,40,25,4,alpha_beta,0.005,0.02,1457.4666666666665,7.283333333333332
1.5,0.005,0.025,100,40,25,4,alpha_beta,0.005,0.025,1457.6666666666665,7.283333333333332
1.5,0.005,0.030000000000000002,100,40,25,4,alpha_beta,0.005,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.005,0.034999999999999996,100,40,25,4,alpha_beta,0.005,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.005,0.04,100,40,25,4,alpha_beta,0.005,0.04,1458.2666666666664,7.283333333333332
1.5,0.005,0.045,100,40,25,4,alpha_beta,0.005,0.045,1458.4666666666665,7.283333333333332
1.5,0.01,0.005,100,40,25,4,alpha_beta,0.01,0.005,1456.8666666666666,7.283333333333332
1.5,0.01,0.01,100,40,25,4,alpha_beta,0.01,0.01,1457.0666666666664,7.283333333333332
1.5,0.01,0.015,100,40,25,4,alpha_beta,0.01,0.015,1457.2666666666664,7.283333333333332
1.5,0.01,0.02,100,40,25,4,alpha_beta,0.01,0.02,1457.4666666666665,7.283333333333332
1.5,0.01,0.025,100,40,25,4,alpha_beta,0.01,0.025,1457.6666666666665,7.283333333333332
1.5,0.01,0.030000000000000002,100,40,25,4,alpha_beta,0.01,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.01,0.034999999999999996,100,40,25,4,alpha_beta,0.01,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.01,0.04,100,40,25,4,alpha_beta,0.01,0.04,1458.2666666666664,7.283333333333332
1.5,0.01,0.045,100,40,25,4,alpha_beta,0.01,0.045,1458.4666666666665,7.283333333333332
1.5,0.015,0.005,100,40,25,4,alpha_beta,0.015,0.005,1456.8666666666666,7.283333333333332
1.5,0.015,0.01,100,40,25,4,alpha_beta,0.015,0.01,1457.0666666666664,7.283333333333332
1.5,0.015,0.015,100,40,25,4,alpha_beta,0.015,0.015,1457.2666666666667,7.283333333333332
1.5,0.015,0.02,100,40,25,4,alpha_beta,0.015,0.02,1457.4666666666665,7.283333333333332
1.5,0.015,0.025,100,40,25,4,alpha_beta,0.015,0.025,1457.6666666666665,7.283333333333332
1.5,0.015,0.030000000000000002,100,40,25,4,alpha_beta,0.015,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.015,0.034999999999999996,100,40,25,4,alpha_beta,0.015,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.015,0.04,100,40,25,4,alpha_beta,0.015,0.04,1458.2666666666664,7.283333333333332
1.5,0.015,0.045,100,40,25,4,alpha_beta,0.015,0.045,1458.4666666666665,7.283333333333332
1.5,0.02,0.005,100,40,25,4,alpha_beta,0.02,0.005,1456.8666666666666,7.283333333333332
1.5,0.02,0.01,100,40,25,4,alpha_beta,0.02,0.01,1457.0666666666664,7.283333333333332
